category,Achilles,Alice,Ancient Leshen,Angel,Annie Christmas,Beowulf,Bigfoot,Black Panther,Black Widow,Bloody Mary,Bruce Lee,Buffy Giles,Buffy Xander,Bullseye,Ciri,Cloak & Dagger,Daredevil,Deadpool,Doctor Strange,Dr. Jill Trent,Dr. Sattler,Dracula,Elektra,Eredin,Geralt of Rivia,Ghost Rider,Golden Bat,Hamlet,Houdini,InGen,Invisible Man,Jekyll & Hyde,King Arthur,Little Red Riding Hood,Luke Cage,Medusa,Moon Knight,Ms. Marvel,Nikola Tesla,Oda Nobunaga,Philippa,Raptors,Robin Hood,Shakespeare,She-Hulk,Sherlock Holmes,Sinbad,Spider-Man,Spike,Squirrel Girl,Sun Wukong,T. Rex,The Genie,The Wayward Sisters,Titania,Tomoe Gozen,Triss,Willow,Winter Soldier,Yennefer,Yennenga
Bruce Lee,61,59,0,4,16,37,23,36,2,39,0,8,13,41,0,26,26,5,6,15,28,76,7,0,0,17,3,9,39,36,29,33,11,37,18,35,26,23,21,1,0,8,64,17,2,10,50,25,6,18,47,22,25,5,3,1,0,4,7,0,54
Buffy Giles,5,3,0,6,3,3,1,7,0,2,8,0,1,11,0,0,3,0,2,3,7,8,4,0,0,10,0,1,0,4,14,16,8,7,3,2,1,0,0,0,0,5,17,1,0,2,6,4,1,2,3,2,0,0,1,1,0,2,0,0,2
Buffy Xander,9,4,0,3,3,6,4,2,0,5,13,1,0,17,0,9,4,0,0,0,3,3,1,0,0,0,1,1,0,3,3,8,1,12,4,2,0,2,2,1,0,9,37,1,0,3,13,2,2,2,1,2,1,0,0,0,0,0,1,0,9
Bullseye,54,30,0,6,16,30,11,19,34,13,41,11,17,0,0,23,67,4,38,1,19,45,43,0,0,24,6,5,17,28,14,16,27,52,24,18,35,21,46,1,0,35,75,8,2,19,13,4,0,2,20,42,38,2,2,17,0,1,42,0,69
Ciri,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
Cloak & Dagger,3,18,0,1,6,11,3,13,6,2,26,0,9,23,0,0,1,1,1,0,10,11,1,0,0,13,2,8,0,0,7,10,1,43,0,3,3,26,20,0,0,22,21,12,0,2,11,3,1,11,4,3,15,1,1,2,0,0,12,0,32
Daredevil,101,22,0,0,8,22,44,42,55,15,26,3,4,67,0,1,0,2,26,23,22,64,51,0,0,18,28,0,64,44,1,8,6,64,87,53,29,5,34,10,0,36,13,26,43,8,32,12,0,1,66,112,41,10,24,56,0,1,33,0,133
Deadpool,1,9,0,11,0,1,1,0,0,31,5,0,0,4,0,1,2,0,0,2,2,0,1,0,0,1,0,0,0,3,21,18,29,0,0,0,9,1,0,7,0,1,2,0,1,1,1,3,3,6,0,1,1,1,0,0,0,8,0,0,2
Doctor Strange,25,2,0,0,6,1,25,33,41,1,6,2,0,38,0,1,26,0,0,14,1,9,4,0,0,3,31,1,52,2,1,0,0,6,26,45,21,1,69,1,0,2,6,2,99,2,5,20,0,0,27,82,12,1,11,46,0,0,60,0,64
Dr. Jill Trent,41,13,0,1,56,6,113,78,25,7,15,3,0,1,0,0,23,2,14,0,7,23,2,0,0,13,100,7,168,19,0,1,3,53,105,133,27,3,140,2,0,7,11,2,28,2,47,0,0,0,59,27,3,1,6,15,0,0,5,0,50
Dr. Sattler,48,64,0,1,5,23,10,3,10,7,28,7,3,19,1,10,22,2,1,7,0,9,2,0,0,11,6,1,11,16,14,6,1,27,25,6,37,11,5,5,0,15,29,0,1,8,40,5,1,2,14,59,33,2,6,13,0,0,5,0,36
Dracula,72,31,1,3,53,44,91,52,14,33,76,8,3,45,0,11,64,0,9,23,9,0,21,0,0,40,24,7,82,45,48,37,8,79,36,52,17,15,10,6,1,47,87,8,10,24,51,7,1,2,37,13,49,10,13,18,0,1,11,0,58
Elektra,31,2,0,0,0,6,11,3,3,3,7,4,1,43,0,1,51,1,4,2,2,21,0,0,0,13,1,0,8,9,3,1,3,28,12,13,8,4,3,0,0,17,23,1,12,15,16,2,1,1,18,19,2,0,1,3,0,0,5,0,32
Eredin,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1
Geralt of Rivia,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0
Ghost Rider,23,24,0,2,10,20,20,23,7,24,17,10,0,24,0,13,18,1,3,13,11,40,13,0,0,0,23,1,24,29,14,24,4,30,59,38,34,9,12,0,0,35,8,1,7,15,28,1,2,1,57,25,40,2,9,9,0,0,8,0,25
Golden Bat,43,19,0,1,40,1,246,17,12,36,3,0,1,6,1,2,28,0,31,100,6,24,1,1,0,23,0,2,107,13,9,10,11,35,84,149,32,2,156,1,0,49,12,4,48,6,51,2,2,1,65,32,25,5,3,38,0,0,16,0,48
Hamlet,10,19,0,1,33,8,3,27,7,1,9,1,1,5,0,8,0,0,1,7,1,7,0,0,0,1,2,0,3,0,0,1,2,10,5,0,21,10,0,2,0,14,10,20,3,0,33,2,1,0,0,1,0,13,18,1,0,0,2,0,1
Houdini,99,17,0,0,29,26,108,121,53,9,39,0,0,17,0,0,64,0,52,168,11,82,8,0,0,24,107,3,0,38,1,1,2,55,175,122,61,3,110,2,0,19,19,4,62,48,42,7,1,1,109,56,68,4,5,16,0,0,53,0,153
InGen,53,35,0,1,13,37,68,27,25,17,36,4,3,28,0,0,44,3,2,19,16,45,9,0,1,29,13,0,38,0,8,16,12,88,67,22,81,1,20,0,0,33,24,2,16,29,30,0,4,1,42,61,43,0,21,28,0,2,14,0,22
